date,beras_dki,beras_jabar,beras_jateng,beras_jatim,beras_sulsel,beras_sumut,bawang_dki,bawang_jabar,bawang_jateng,bawang_jatim,bawang_sulsel,bawang_sumut,cabai_dki,cabai_jabar,cabai_jateng,cabai_jatim,cabai_sulsel,cabai_sumut
1/1/2021,,,,,,,,,,,,,,,,,,
1/2/2021,,,,,,,,,,,,,,,,,,
1/3/2021,,,,,,,,,,,,,,,,,,
1/4/2021,13950,11400,11250,10450,10250,11150,35000,27950,26850,27850,29000,32900,69150,57200,54250,48550,39400,50700
1/5/2021,13950,11400,11250,10450,10250,11150,35000,27750,27400,27900,28250,32650,69150,56300,54850,47600,39400,45300
1/6/2021,13950,11450,11250,10450,10250,11150,33350,27600,27150,27850,28250,32750,70850,54850,54200,46400,39400,43450
1/7/2021,13950,11450,11250,10450,10250,11150,33350,27700,27150,27950,27950,32900,70850,53350,53150,47150,36900,42350
1/8/2021,13950,11450,11250,10450,10250,11150,33350,27450,26950,27950,27950,32000,66650,52600,48950,46150,36250,42450
1/9/2021,,,,,,,,,,,,,,,,,,
1/10/2021,,,,,,,,,,,,,,,,,,
1/11/2021,13950,11450,11250,10450,10250,11150,34150,27700,26600,27350,27650,32500,60850,52300,46800,42650,38400,43900
1/12/2021,13950,11450,11250,10450,10250,11150,34150,27800,26550,27450,27900,32500,60850,51150,47100,43600,38600,43500
1/13/2021,13950,11450,11250,10450,10250,11150,34150,27800,26400,27350,27900,32500,61650,50550,46900,44450,37600,43500
1/14/2021,13950,11450,11250,10450,10250,11150,35000,27700,26500,27400,27900,32350,61650,49800,46650,46100,38000,43400
1/15/2021,13950,11450,11250,10450,10250,11150,35000,27600,26750,27150,27900,32300,61650,48950,46700,45050,38650,45000
1/16/2021,,,,,,,,,,,,,,,,,,
1/17/2021,,,,,,,,,,,,,,,,,,
1/18/2021,13950,11450,11250,10450,10250,11150,34150,27750,26350,26550,27850,32050,60850,48950,45550,43450,40000,46950
1/19/2021,13950,11450,11250,10450,10250,11150,34150,27800,26150,26500,27850,31900,60850,48500,44750,42900,40250,46050
1/20/2021,13950,11450,11250,10450,10250,11150,34150,28200,26250,26200,27850,31800,60850,47900,43650,42150,39750,45900
1/21/2021,13950,11450,11250,10450,10250,11150,34150,28250,26200,25950,27850,31800,60850,47900,42400,41550,39250,46550
1/22/2021,13950,11450,11250,10450,10250,11150,34150,28250,26150,25700,27850,31800,55850,45900,41450,41300,36950,46550
1/23/2021,,,,,,,,,,,,,,,,,,
1/24/2021,,,,,,,,,,,,,,,,,,
1/25/2021,13950,11450,11250,10450,10250,11150,35000,28100,26000,25250,27900,30750,55000,43550,39850,39050,34550,38050
1/26/2021,13950,11450,11250,10450,10250,11150,35000,27950,25950,25100,27550,30850,55000,42850,39750,38950,34550,37150
1/27/2021,13950,11450,11250,10450,10250,11150,35000,27950,26050,25100,27550,30350,55000,42150,40250,38300,33050,37700
1/28/2021,13950,11450,11250,10450,10250,11150,35000,28000,25950,24950,27550,30350,56650,41700,40000,38000,33050,37200
1/29/2021,13950,11450,11250,10450,10250,11150,35000,28150,26000,24700,27200,30600,56650,43800,41450,38450,34800,36350
1/30/2021,,,,,,,,,,,,,,,,,,
1/31/2021,,,,,,,,,,,,,,,,,,
2/1/2021,13950,11450,11250,10450,10250,11150,35850,28050,25900,24100,27250,30250,70000,51300,45350,43750,34600,42900
