date,beras_jabar,beras_jateng,beras_jatim,beras_sulsel,beras_sumut,bawang_jabar,bawang_jateng,bawang_jatim,bawang_sulsel,bawang_sumut,cabai_jabar,cabai_jateng,cabai_jatim,cabai_sulsel,cabai_sumut
1/1/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/2/2021,,,,,,,,,,,,,,,
1/3/2021,,,,,,,,,,,,,,,
1/4/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/5/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/6/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/7/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/8/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/9/2021,,,,,,,,,,,,,,,
1/10/2021,,,,,,,,,,,,,,,
1/11/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/12/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/13/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/14/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/15/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/16/2021,,,,,,,,,,,,,,,
1/17/2021,,,,,,,,,,,,,,,
1/18/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/19/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/20/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/21/2021,9600,9200,8500,9300,10350,17150,19600,15000,23500,24500,30400,37100,33350,23500,36800
1/22/2021,9800,9200,8500,9300,9850,15800,19600,14500,23500,23350,35550,37100,34350,23500,36500
1/23/2021,,,,,,,,,,,,,,,
1/24/2021,,,,,,,,,,,,,,,
1/25/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
1/26/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
1/27/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
1/28/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
1/29/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
1/30/2021,,,,,,,,,,,,,,,
1/31/2021,,,,,,,,,,,,,,,
2/1/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/2/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/3/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/4/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/5/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/6/2021,,,,,,,,,,,,,,,
2/7/2021,,,,,,,,,,,,,,,
2/8/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/9/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/10/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/11/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/12/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/13/2021,,,,,,,,,,,,,,,
2/14/2021,,,,,,,,,,,,,,,
2/15/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/16/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/17/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/18/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/19/2021,9800,9200,8400,9300,10350,16050,16350,11650,18400,17150,32950,32350,29900,19000,32850
2/20/2021,,,,,,,,,,,,,,,
2/21/2021,,,,,,,,,,,,,,,
2/22/2021,9800,9200,8400,9300,10350,16050,16350,13000,18400,17150,32950,32350,29900,19000,32850
2/23/2021,9550,9200,8400,9300,10350,11650,16350,13000,18400,17150,33200,32350,29900,19000,32850
2/24/2021,9600,9200,8400,9300,10350,18350,16350,13000,18400,17150,34850,32350,29900,19000,32850
2/25/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
2/26/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
2/27/2021,,,,,,,,,,,,,,,
2/28/2021,,,,,,,,,,,,,,,
3/1/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/2/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/3/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/4/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/5/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/6/2021,,,,,,,,,,,,,,,
3/7/2021,,,,,,,,,,,,,,,
3/8/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/9/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/10/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/11/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/12/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/13/2021,,,,,,,,,,,,,,,
3/14/2021,,,,,,,,,,,,,,,
3/15/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/16/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/17/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/18/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/19/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/20/2021,,,,,,,,,,,,,,,
3/21/2021,,,,,,,,,,,,,,,
3/22/2021,9650,9250,8300,9300,10300,18350,19450,17400,15750,18650,32850,36350,35400,18500,21600
3/23/2021,9650,9250,8300,9300,10300,20400,19450,17400,15750,18650,34100,36350,35400,18500,21600
3/24/2021,9350,9250,8300,9300,10300,22150,19450,17500,15750,18650,37850,36350,35400,18500,21600
3/25/2021,9250,9250,8100,9300,10300,22150,20850,19200,17500,19500,38650,38800,31900,21500,31500
3/26/2021,9250,9250,8100,9300,10300,22150,20850,19200,17500,19500,38650,38800,31900,21500,31500
3/27/2021,,,,,,,,,,,,,,,
3/28/2021,,,,,,,,,,,,,,,
3/29/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
3/30/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
3/31/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/1/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/2/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/3/2021,,,,,,,,,,,,,,,
4/4/2021,,,,,,,,,,,,,,,
4/5/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/6/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/7/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/8/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/9/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/10/2021,,,,,,,,,,,,,,,
4/11/2021,,,,,,,,,,,,,,,
4/12/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/13/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/14/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/15/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/16/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/17/2021,,,,,,,,,,,,,,,
4/18/2021,,,,,,,,,,,,,,,
4/19/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/20/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/21/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/22/2021,9250,9250,8100,9300,10300,22150,20850,19350,17500,19500,38650,38800,31900,21500,31500
4/23/2021,9400,9150,8050,9300,10300,21350,20550,18950,17500,19500,25500,31300,29200,21500,29150
4/24/2021,,,,,,,,,,,,,,,
4/25/2021,,,,,,,,,,,,,,,
4/26/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
4/27/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
4/28/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
4/29/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
4/30/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/1/2021,,,,,,,,,,,,,,,
5/2/2021,,,,,,,,,,,,,,,
5/3/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/4/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/5/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/6/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/7/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/8/2021,,,,,,,,,,,,,,,
5/9/2021,,,,,,,,,,,,,,,
5/10/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/11/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/12/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/13/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/14/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/15/2021,,,,,,,,,,,,,,,
5/16/2021,,,,,,,,,,,,,,,
5/17/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/18/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/19/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/20/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/21/2021,9400,9150,7850,9250,10300,21350,17700,13100,16000,20000,25500,26600,23300,19750,27250
5/22/2021,,,,,,,,,,,,,,,
5/23/2021,,,,,,,,,,,,,,,
5/24/2021,9400,9150,7850,9250,10300,21350,17700,13500,16000,20000,25500,26600,23300,19750,27250
5/25/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,21850
5/26/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,21850
5/27/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,21850
5/28/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
5/29/2021,,,,,,,,,,,,,,,
5/30/2021,,,,,,,,,,,,,,,
5/31/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/1/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/2/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/3/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/4/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/5/2021,,,,,,,,,,,,,,,
6/6/2021,,,,,,,,,,,,,,,
6/7/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/8/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/9/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/10/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/11/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/12/2021,,,,,,,,,,,,,,,
6/13/2021,,,,,,,,,,,,,,,
6/14/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/15/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/16/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/17/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/18/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/19/2021,,,,,,,,,,,,,,,
6/20/2021,,,,,,,,,,,,,,,
6/21/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/22/2021,9450,9050,7850,9250,10300,16200,15450,15100,15500,19200,14550,13700,12350,15000,19150
6/23/2021,9450,9050,7850,9250,10300,16200,15450,15000,15500,19200,14550,13700,11750,15000,19150
6/24/2021,9850,9050,7850,9250,10300,17700,15450,15000,15500,19200,12850,13700,11750,15000,19150
6/25/2021,9800,8950,7650,9300,10250,18150,14500,13600,12500,17350,11750,10100,9550,13000,18450
6/26/2021,,,,,,,,,,,,,,,
6/27/2021,,,,,,,,,,,,,,,
6/28/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
6/29/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
6/30/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/1/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/2/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/3/2021,,,,,,,,,,,,,,,
7/4/2021,,,,,,,,,,,,,,,
7/5/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/6/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/7/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/8/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/9/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/10/2021,,,,,,,,,,,,,,,
7/11/2021,,,,,,,,,,,,,,,
7/12/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/13/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/14/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/15/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/16/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/17/2021,,,,,,,,,,,,,,,
7/18/2021,,,,,,,,,,,,,,,
7/19/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/20/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/21/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/22/2021,9800,8950,7650,9300,10250,18150,14500,13150,12500,17350,11750,10100,9550,13000,18450
7/23/2021,9700,8950,7600,9300,10250,20900,14600,14600,12500,17350,16700,9850,12950,13000,18400
7/24/2021,,,,,,,,,,,,,,,
7/25/2021,,,,,,,,,,,,,,,
7/26/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12650,22500,22200
7/27/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
7/28/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
7/29/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
7/30/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
7/31/2021,,,,,,,,,,,,,,,
8/1/2021,,,,,,,,,,,,,,,
8/2/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/3/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/4/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/5/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/6/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/7/2021,,,,,,,,,,,,,,,
8/8/2021,,,,,,,,,,,,,,,
8/9/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/10/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/11/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/12/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/13/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/14/2021,,,,,,,,,,,,,,,
8/15/2021,,,,,,,,,,,,,,,
8/16/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/17/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/18/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/19/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/20/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/21/2021,,,,,,,,,,,,,,,
8/22/2021,,,,,,,,,,,,,,,
8/23/2021,9700,8800,7600,9350,10250,20900,18600,16200,16500,18150,16700,12150,12950,22500,22200
8/24/2021,9850,8550,7600,9350,9850,16350,18000,14750,16500,16650,10900,13000,11400,22500,24900
8/25/2021,9750,8800,7650,9350,10500,16350,15200,13150,18900,18850,11150,7200,5500,6000,22300
8/26/2021,9750,8800,7650,9350,10500,16350,15200,13150,18900,18850,11150,7200,5500,6000,22300
