date,column,year,original,clipped,lower,upper
2022-01-10,beras_dki_cons,2022,12800.0,13000.0,13000.0,15100.0
2022-09-06,beras_dki_cons,2022,12900.0,13000.0,13000.0,15100.0
2024-05-06,beras_dki_cons,2024,16600.0,16300.0,14900.0,16300.0
2024-01-01,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-02,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-03,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-04,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-05,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-06,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-07,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-08,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-09,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-10,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-11,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-12,beras_jabar_cons,2024,14250.0,14500.0,14500.0,15550.0
2024-01-13,beras_jabar_cons,2024,14266.666666666666,14500.0,14500.0,15550.0
2024-01-14,beras_jabar_cons,2024,14283.333333333334,14500.0,14500.0,15550.0
2024-01-15,beras_jabar_cons,2024,14300.0,14500.0,14500.0,15550.0
2024-02-11,beras_jabar_cons,2024,15616.666666666666,15550.0,14500.0,15550.0
2024-02-12,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-02-13,beras_jabar_cons,2024,15750.0,15550.0,14500.0,15550.0
2024-02-14,beras_jabar_cons,2024,15750.0,15550.0,14500.0,15550.0
2024-02-15,beras_jabar_cons,2024,15750.0,15550.0,14500.0,15550.0
2024-02-16,beras_jabar_cons,2024,15800.0,15550.0,14500.0,15550.0
2024-02-17,beras_jabar_cons,2024,15833.333333333334,15550.0,14500.0,15550.0
2024-02-18,beras_jabar_cons,2024,15866.666666666666,15550.0,14500.0,15550.0
2024-02-19,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-02-20,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-02-21,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-02-22,beras_jabar_cons,2024,15950.0,15550.0,14500.0,15550.0
2024-02-23,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-02-24,beras_jabar_cons,2024,16016.666666666666,15550.0,14500.0,15550.0
2024-02-25,beras_jabar_cons,2024,16033.333333333334,15550.0,14500.0,15550.0
2024-02-26,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-02-27,beras_jabar_cons,2024,16100.0,15550.0,14500.0,15550.0
2024-02-28,beras_jabar_cons,2024,16100.0,15550.0,14500.0,15550.0
2024-02-29,beras_jabar_cons,2024,16100.0,15550.0,14500.0,15550.0
2024-03-01,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-02,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-03,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-04,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-05,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-06,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-07,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-08,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-09,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-10,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-11,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-12,beras_jabar_cons,2024,16050.0,15550.0,14500.0,15550.0
2024-03-13,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-14,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-15,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-16,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-17,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-18,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-19,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-20,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-21,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-22,beras_jabar_cons,2024,16000.0,15550.0,14500.0,15550.0
2024-03-23,beras_jabar_cons,2024,15983.333333333334,15550.0,14500.0,15550.0
2024-03-24,beras_jabar_cons,2024,15966.666666666666,15550.0,14500.0,15550.0
2024-03-25,beras_jabar_cons,2024,15950.0,15550.0,14500.0,15550.0
2024-03-26,beras_jabar_cons,2024,15950.0,15550.0,14500.0,15550.0
2024-03-27,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-03-28,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-03-29,beras_jabar_cons,2024,15900.0,15550.0,14500.0,15550.0
2024-03-30,beras_jabar_cons,2024,15883.333333333334,15550.0,14500.0,15550.0
2024-03-31,beras_jabar_cons,2024,15866.666666666666,15550.0,14500.0,15550.0
2024-04-01,beras_jabar_cons,2024,15850.0,15550.0,14500.0,15550.0
2024-04-02,beras_jabar_cons,2024,15750.0,15550.0,14500.0,15550.0
2024-04-03,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-04,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-05,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-06,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-07,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-08,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-09,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-10,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-11,beras_jabar_cons,2024,15700.0,15550.0,14500.0,15550.0
2024-04-12,beras_jabar_cons,2024,15750.0,15550.0,14500.0,15550.0
2024-04-13,beras_jabar_cons,2024,15733.333333333334,15550.0,14500.0,15550.0
2024-04-14,beras_jabar_cons,2024,15716.666666666666,15550.0,14500.0,15550.0
