variate,mae
beras_dki_cons,0.036401
beras_jabar_cons,0.097433
beras_jateng_cons,0.202109
beras_jatim_cons,0.223945
beras_sulsel_cons,0.378519
beras_sumut_cons,0.571167
bawang_dki_cons,0.631515
bawang_jabar_cons,0.760496
bawang_jateng_cons,0.885256
bawang_jatim_cons,0.773296
bawang_sulsel_cons,0.680666
bawang_sumut_cons,1.062652
cabai_dki_cons,0.625328
cabai_jabar_cons,0.764672
cabai_jateng_cons,0.756514
cabai_jatim_cons,0.850174
cabai_sulsel_cons,0.683201
cabai_sumut_cons,0.877622
beras_jabar_prod,0.195858
beras_jateng_prod,0.220029
beras_jatim_prod,0.073459
beras_sulsel_prod,0.652798
beras_sumut_prod,0.139568
bawang_jabar_prod,0.230933
bawang_jateng_prod,0.220661
bawang_jatim_prod,0.799259
bawang_sulsel_prod,0.286879
bawang_sumut_prod,0.177933
cabai_jabar_prod,0.185733
cabai_jateng_prod,0.166732
cabai_jatim_prod,0.698629
cabai_sulsel_prod,0.099387
cabai_sumut_prod,0.289660
