variate,mae
beras_dki_cons,0.038244
beras_jabar_cons,0.091204
beras_jateng_cons,0.187638
beras_jatim_cons,0.214104
beras_sulsel_cons,0.356826
beras_sumut_cons,0.539318
bawang_dki_cons,0.595533
bawang_jabar_cons,0.777963
bawang_jateng_cons,0.913294
bawang_jatim_cons,0.794909
bawang_sulsel_cons,0.683114
bawang_sumut_cons,1.077036
cabai_dki_cons,0.607476
cabai_jabar_cons,0.770612
cabai_jateng_cons,0.761448
cabai_jatim_cons,0.855949
cabai_sulsel_cons,0.674142
cabai_sumut_cons,0.877250
beras_jabar_prod,0.184123
beras_jateng_prod,0.209439
beras_jatim_prod,0.066436
beras_sulsel_prod,0.562767
beras_sumut_prod,0.133473
bawang_jabar_prod,0.221093
bawang_jateng_prod,0.208161
bawang_jatim_prod,0.718987
bawang_sulsel_prod,0.270152
bawang_sumut_prod,0.164386
cabai_jabar_prod,0.180384
cabai_jateng_prod,0.165119
cabai_jatim_prod,0.626613
cabai_sulsel_prod,0.105827
cabai_sumut_prod,0.273290
