variate,price_mae_rp
beras_dki_cons,26
beras_jabar_cons,12
beras_jateng_cons,26
beras_jatim_cons,41
beras_sulsel_cons,54
beras_sumut_cons,58
bawang_dki_cons,"3,270"
bawang_jabar_cons,"2,427"
bawang_jateng_cons,"2,432"
bawang_jatim_cons,"2,423"
bawang_sulsel_cons,"1,763"
bawang_sumut_cons,"2,205"
cabai_dki_cons,"5,212"
cabai_jabar_cons,"4,852"
cabai_jateng_cons,"4,590"
cabai_jatim_cons,"4,210"
cabai_sulsel_cons,"3,316"
cabai_sumut_cons,"7,848"
beras_jabar_prod,29
beras_jateng_prod,52
beras_jatim_prod,47
beras_sulsel_prod,36
beras_sumut_prod,46
bawang_jabar_prod,"1,517"
bawang_jateng_prod,"1,180"
bawang_jatim_prod,"1,221"
bawang_sulsel_prod,"1,630"
bawang_sumut_prod,726
cabai_jabar_prod,"1,575"
cabai_jateng_prod,"1,373"
cabai_jatim_prod,"1,237"
cabai_sulsel_prod,722
cabai_sumut_prod,"2,845"
