variate,mae
beras_dki_cons,0.028295
beras_jabar_cons,0.083742
beras_jateng_cons,0.187907
beras_jatim_cons,0.209892
beras_sulsel_cons,0.356210
beras_sumut_cons,0.551060
bawang_dki_cons,0.608246
bawang_jabar_cons,0.778992
bawang_jateng_cons,0.915750
bawang_jatim_cons,0.803406
bawang_sulsel_cons,0.682588
bawang_sumut_cons,1.078755
cabai_dki_cons,0.612170
cabai_jabar_cons,0.775261
cabai_jateng_cons,0.768435
cabai_jatim_cons,0.861629
cabai_sulsel_cons,0.681481
cabai_sumut_cons,0.882772
beras_jabar_prod,0.179659
beras_jateng_prod,0.199611
beras_jatim_prod,0.064360
beras_sulsel_prod,0.631949
beras_sumut_prod,0.124140
bawang_jabar_prod,0.209399
bawang_jateng_prod,0.202130
bawang_jatim_prod,0.772867
bawang_sulsel_prod,0.262094
bawang_sumut_prod,0.170890
cabai_jabar_prod,0.176156
cabai_jateng_prod,0.154687
cabai_jatim_prod,0.669204
cabai_sulsel_prod,0.080430
cabai_sumut_prod,0.270379
