variate,price_mae_rp
beras_dki_cons,32
beras_jabar_cons,12
beras_jateng_cons,27
beras_jatim_cons,40
beras_sulsel_cons,54
beras_sumut_cons,56
bawang_dki_cons,"3,267"
bawang_jabar_cons,"2,383"
bawang_jateng_cons,"2,412"
bawang_jatim_cons,"2,461"
bawang_sulsel_cons,"1,820"
bawang_sumut_cons,"2,196"
cabai_dki_cons,"5,426"
cabai_jabar_cons,"5,119"
cabai_jateng_cons,"4,798"
cabai_jatim_cons,"4,423"
cabai_sulsel_cons,"3,426"
cabai_sumut_cons,"7,931"
beras_jabar_prod,30
beras_jateng_prod,53
beras_jatim_prod,52
beras_sulsel_prod,40
beras_sumut_prod,45
bawang_jabar_prod,"1,512"
bawang_jateng_prod,"1,224"
bawang_jatim_prod,"1,303"
bawang_sulsel_prod,"1,605"
bawang_sumut_prod,826
cabai_jabar_prod,"1,682"
cabai_jateng_prod,"1,458"
cabai_jatim_prod,"1,340"
cabai_sulsel_prod,609
cabai_sumut_prod,"2,879"
