variate,mae
beras_dki_cons,0.021127
beras_jabar_cons,0.094831
beras_jateng_cons,0.200030
beras_jatim_cons,0.221062
beras_sulsel_cons,0.385346
beras_sumut_cons,0.579215
bawang_dki_cons,0.620554
bawang_jabar_cons,0.780557
bawang_jateng_cons,0.918918
bawang_jatim_cons,0.794882
bawang_sulsel_cons,0.690763
bawang_sumut_cons,1.092309
cabai_dki_cons,0.618867
cabai_jabar_cons,0.771463
cabai_jateng_cons,0.761786
cabai_jatim_cons,0.854505
cabai_sulsel_cons,0.675281
cabai_sumut_cons,0.888910
beras_jabar_prod,0.225237
beras_jateng_prod,0.233282
beras_jatim_prod,0.066795
beras_sulsel_prod,0.764216
beras_sumut_prod,0.144912
bawang_jabar_prod,0.246502
bawang_jateng_prod,0.242291
bawang_jatim_prod,0.847074
bawang_sulsel_prod,0.312450
bawang_sumut_prod,0.183504
cabai_jabar_prod,0.198496
cabai_jateng_prod,0.174511
cabai_jatim_prod,0.722704
cabai_sulsel_prod,0.094689
cabai_sumut_prod,0.319150
