variate,price_mae_rp
beras_dki_cons,23
beras_jabar_cons,13
beras_jateng_cons,29
beras_jatim_cons,42
beras_sulsel_cons,56
beras_sumut_cons,56
bawang_dki_cons,"3,216"
bawang_jabar_cons,"2,366"
bawang_jateng_cons,"2,427"
bawang_jatim_cons,"2,413"
bawang_sulsel_cons,"1,813"
bawang_sumut_cons,"2,231"
cabai_dki_cons,"5,318"
cabai_jabar_cons,"4,881"
cabai_jateng_cons,"4,583"
cabai_jatim_cons,"4,252"
cabai_sulsel_cons,"3,293"
cabai_sumut_cons,"8,122"
beras_jabar_prod,39
beras_jateng_prod,59
beras_jatim_prod,47
beras_sulsel_prod,43
beras_sumut_prod,44
bawang_jabar_prod,"1,724"
bawang_jateng_prod,"1,312"
bawang_jatim_prod,"1,350"
bawang_sulsel_prod,"1,707"
bawang_sumut_prod,777
cabai_jabar_prod,"1,719"
cabai_jateng_prod,"1,457"
cabai_jatim_prod,"1,387"
cabai_sulsel_prod,680
cabai_sumut_prod,"3,023"
